"","SITEVISITIDREPDIVER","X.1","SITE","ISLAND","X","SITEVISITID","METHOD","OBS_YEAR","REGION","REGION_NAME","ANALYSIS_SEC","ANALYSIS_YEAR","ANALYSIS_STRATA","SEC_NAME","DATE_","REEF_ZONE","DEPTH_BIN","DEPTH_BIN_new","LATITUDE","LONGITUDE","DEPTH","HARD_CORAL","SOFT_CORAL","MA","CCA","TA","SAND","CYANO","OTHER_BENTHIC","ComplexityValue","MEAN_SH","SD_SH_DIFF","MAX_HEIGHT","nCounts","nReps","REP","DIVER","PISCIVORE","PLANKTIVORE","PRIMARY","SECONDARY","UNKNOWN","TotFish","ECOREGION","POP_STATUS","SITE_SLOPE_400m","REPLICATEID","PISCIVORE_SJs"
"577","2300BMKM",4122,"ROS-00205","Rose",574,2300,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefDeep","ROSE_SANCTUARY","04/03/2010","Forereef","Deep","Deep",-14.55199,-168.16634,24,7.5,1.25,43.75,30,17.5,0,NA,0,3.5,NA,NA,NA,4,2,"B","MKM",1.947572251,4.80063202,24.49847704,1.201176991,0,32.44785831,"Samoa Islands","U",38.47997689,"1845952027",1.94757225140402
"578","2301AEMD",4118,"ROS-00203","Rose",579,2301,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefMid","ROSE_SANCTUARY","04/03/2010","Forereef","Mid","Mid",-14.55792,-168.15314,12,10,0,40,41.25,8.75,0,NA,0,1.5,NA,NA,NA,4,2,"A","EMD",13.53988018,6.971783966,8.117416815,3.2971671,0,31.92624806,"Samoa Islands","U",35.76066456,"1845952021",13.5398801793538
"579","2301AMKM",4119,"ROS-00203","Rose",580,2301,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefMid","ROSE_SANCTUARY","04/03/2010","Forereef","Mid","Mid",-14.55792,-168.15314,12,10,0,40,41.25,8.75,0,NA,0,1.5,NA,NA,NA,4,2,"A","MKM",12.25140631,97.94363372,8.658848083,4.957882127,0,123.8117702,"Samoa Islands","U",35.76066456,"1845952034",12.251406312379
"580","2301BEMD",4121,"ROS-00203","Rose",578,2301,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefMid","ROSE_SANCTUARY","04/03/2010","Forereef","Mid","Mid",-14.55792,-168.15314,12,10,0,40,41.25,8.75,0,NA,0,1.5,NA,NA,NA,4,2,"B","EMD",13.82672726,6.681417882,4.586451836,4.821698256,0,29.91629524,"Samoa Islands","U",35.76066456,"1845952022",13.8267272617374
"581","2301BMKM",4120,"ROS-00203","Rose",581,2301,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefMid","ROSE_SANCTUARY","04/03/2010","Forereef","Mid","Mid",-14.55792,-168.15314,12,10,0,40,41.25,8.75,0,NA,0,1.5,NA,NA,NA,4,2,"B","MKM",6.773420767,4.651586038,7.364006137,3.804099457,0,22.5931124,"Samoa Islands","U",35.76066456,"1845952036",6.77342076671644
"582","2302AEMD",4130,"ROS-00211","Rose",585,2302,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefShallow","ROSE_SANCTUARY","04/03/2010","Forereef","Shallow","Shallow",-14.55928,-168.15553,7,10,2.5,4.5,73.75,8,1.25,NA,0,4,NA,NA,NA,4,2,"A","EMD",9.991945113,9.596176658,14.30819242,2.929633755,0,36.82594795,"Samoa Islands","U",34.67409864,"1845952019",16.6602597075525
"583","2302AMKM",4129,"ROS-00211","Rose",582,2302,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefShallow","ROSE_SANCTUARY","04/03/2010","Forereef","Shallow","Shallow",-14.55928,-168.15553,7,10,2.5,4.5,73.75,8,1.25,NA,0,4,NA,NA,NA,4,2,"A","MKM",2.901643519,7.175760169,21.48513601,7.244783417,0,38.80732311,"Samoa Islands","U",34.67409864,"1845952028",2.90164351943232
"584","2302BEMD",4131,"ROS-00211","Rose",583,2302,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefShallow","ROSE_SANCTUARY","04/03/2010","Forereef","Shallow","Shallow",-14.55928,-168.15553,7,10,2.5,4.5,73.75,8,1.25,NA,0,4,NA,NA,NA,4,2,"B","EMD",1.147331846,3.202365906,13.57967164,3.979721044,0,21.90909043,"Samoa Islands","U",34.67409864,"1845952020",1.14733184580003
"585","2302BMKM",4128,"ROS-00211","Rose",584,2302,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefShallow","ROSE_SANCTUARY","04/03/2010","Forereef","Shallow","Shallow",-14.55928,-168.15553,7,10,2.5,4.5,73.75,8,1.25,NA,0,4,NA,NA,NA,4,2,"B","MKM",5.730515921,8.420257974,23.77349908,2.771209742,0,40.69548272,"Samoa Islands","U",34.67409864,"1845952029",5.73051592129002
"586","2303AKSM",4189,"ROS-00239","Rose",588,2303,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefShallow","ROSE_SANCTUARY","04/03/2010","Forereef","Shallow","Shallow",-14.55998,-168.1591,5.5,27.5,0.25,10,47.5,14.75,0,NA,0,4.5,NA,NA,NA,4,2,"A","KSM",1.927842448,2.913851072,9.201233213,1.143872547,0,15.18679928,"Samoa Islands","U",36.81196403,"1845952026",1.9278424476698
"587","2303APMA",4186,"ROS-00239","Rose",589,2303,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefShallow","ROSE_SANCTUARY","04/03/2010","Forereef","Shallow","Shallow",-14.55998,-168.1591,5.5,27.5,0.25,10,47.5,14.75,0,NA,0,4.5,NA,NA,NA,4,2,"A","PMA",1.907230733,10.88939794,30.40151071,4.574008257,0,47.77214765,"Samoa Islands","U",36.81196403,"1845952039",1.9072307329559
"588","2303BKSM",4187,"ROS-00239","Rose",587,2303,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefShallow","ROSE_SANCTUARY","04/03/2010","Forereef","Shallow","Shallow",-14.55998,-168.1591,5.5,27.5,0.25,10,47.5,14.75,0,NA,0,4.5,NA,NA,NA,4,2,"B","KSM",1.14383879,2.08667824,8.596976173,2.859357566,0,14.68685077,"Samoa Islands","U",36.81196403,"1845952032",2.1960001700268
"589","2303BPMA",4188,"ROS-00239","Rose",586,2303,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefShallow","ROSE_SANCTUARY","04/03/2010","Forereef","Shallow","Shallow",-14.55998,-168.1591,5.5,27.5,0.25,10,47.5,14.75,0,NA,0,4.5,NA,NA,NA,4,2,"B","PMA",1.29378882,5.348657938,15.9061704,3.615699151,0,26.1643163,"Samoa Islands","U",36.81196403,"1845952040",5.77657506012646
"590","2306AKSM",4147,"ROS-00218","Rose",592,2306,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefShallow","ROSE_SANCTUARY","03/03/2010","Forereef","Shallow","Shallow",-14.55892,-168.16049,5,27.5,0,12.5,47.5,12.5,0,NA,0,3.25,NA,NA,NA,4,2,"A","KSM",2.920154376,5.912631855,11.14167371,2.655816559,0,22.6302765,"Samoa Islands","U",36.09469368,"1845952051",2.92015437558257
"591","2306APMA",4146,"ROS-00218","Rose",593,2306,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefShallow","ROSE_SANCTUARY","03/03/2010","Forereef","Shallow","Shallow",-14.55892,-168.16049,5,27.5,0,12.5,47.5,12.5,0,NA,0,3.25,NA,NA,NA,4,2,"A","PMA",6.757064806,12.25324586,27.4354583,5.118784828,0,51.5645538,"Samoa Islands","U",36.09469368,"1845952033",6.75706480585235
"592","2306BKSM",4148,"ROS-00218","Rose",591,2306,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefShallow","ROSE_SANCTUARY","03/03/2010","Forereef","Shallow","Shallow",-14.55892,-168.16049,5,27.5,0,12.5,47.5,12.5,0,NA,0,3.25,NA,NA,NA,4,2,"B","KSM",0.385432187,3.180752065,12.08661588,2.039459107,0,17.69225924,"Samoa Islands","U",36.09469368,"1845952052",0.385432187367649
"593","2306BPMA",4149,"ROS-00218","Rose",590,2306,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefShallow","ROSE_SANCTUARY","03/03/2010","Forereef","Shallow","Shallow",-14.55892,-168.16049,5,27.5,0,12.5,47.5,12.5,0,NA,0,3.25,NA,NA,NA,4,2,"B","PMA",0.982767527,7.122003895,19.40801448,10.86749743,0,38.38028333,"Samoa Islands","U",36.09469368,"1845952037",6.27113461453953
"594","2307AKSM",4135,"ROS-00212","Rose",596,2307,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefDeep","ROSE_SANCTUARY","04/03/2010","Forereef","Deep","Mid",-14.55329,-168.16541,20,20,0,30,36.25,13.75,0,NA,0,3,NA,NA,NA,4,2,"A","KSM",3.176736193,9.82238049,10.19082206,0.97153662,0,24.16147537,"Samoa Islands","U",38.12634043,"1845952050",3.17673619274884
"595","2307APMA",4132,"ROS-00212","Rose",594,2307,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefDeep","ROSE_SANCTUARY","04/03/2010","Forereef","Deep","Mid",-14.55329,-168.16541,20,20,0,30,36.25,13.75,0,NA,0,3,NA,NA,NA,4,2,"A","PMA",3.955061619,15.65890151,24.29997761,0.601215354,0,44.5151561,"Samoa Islands","U",38.12634043,"1845952047",3.95506161883647
"596","2307BEMD",4134,"ROS-00212","Rose",595,2307,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefDeep","ROSE_SANCTUARY","04/03/2010","Forereef","Deep","Mid",-14.55329,-168.16541,20,20,0,30,36.25,13.75,0,NA,0,3,NA,NA,NA,4,2,"B","EMD",2.855088687,7.223838886,9.515572684,1.227947263,0,20.82244752,"Samoa Islands","U",38.12634043,"1845952035",7.33787492716394
"597","2307BMKM",4133,"ROS-00212","Rose",597,2307,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefDeep","ROSE_SANCTUARY","04/03/2010","Forereef","Deep","Mid",-14.55329,-168.16541,20,20,0,30,36.25,13.75,0,NA,0,3,NA,NA,NA,4,2,"B","MKM",4.282604496,12.09957358,25.03420947,3.291978339,0,44.70836589,"Samoa Islands","U",38.12634043,"1845952038",8.7653907366307
"598","2314AKSM",4191,"ROS-00240","Rose",600,2314,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefShallow","ROSE_SANCTUARY","04/03/2010","Forereef","Shallow","Shallow",-14.56028,-168.15828,8,20.5,1,6.25,48.25,17,7,NA,0,5,NA,NA,NA,4,2,"A","KSM",4.094408245,2.99671697,12.16927856,3.938340715,0,23.19874449,"Samoa Islands","U",36.98448966,"1845952048",4.09440824508402
"599","2314APMA",4193,"ROS-00240","Rose",598,2314,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefShallow","ROSE_SANCTUARY","04/03/2010","Forereef","Shallow","Shallow",-14.56028,-168.15828,8,20.5,1,6.25,48.25,17,7,NA,0,5,NA,NA,NA,4,2,"A","PMA",1.881358544,10.88989876,19.604288,6.677363694,0,39.052909,"Samoa Islands","U",36.98448966,"1845952042",1.88135854448919
"600","2314BKSM",4190,"ROS-00240","Rose",601,2314,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefShallow","ROSE_SANCTUARY","04/03/2010","Forereef","Shallow","Shallow",-14.56028,-168.15828,8,20.5,1,6.25,48.25,17,7,NA,0,5,NA,NA,NA,4,2,"B","KSM",2.789872441,3.792408682,8.945264613,0.930152454,0,16.45769819,"Samoa Islands","U",36.98448966,"1845952049",2.78987244064566
"601","2314BPMA",4192,"ROS-00240","Rose",599,2314,"nSPC",2010,"SAMOA","American Samoa","Rose","2010","ForereefShallow","ROSE_SANCTUARY","04/03/2010","Forereef","Shallow","Shallow",-14.56028,-168.15828,8,20.5,1,6.25,48.25,17,7,NA,0,5,NA,NA,NA,4,2,"B","PMA",1.011111951,8.035172456,26.91834414,1.206407515,0,37.17103606,"Samoa Islands","U",36.98448966,"1845952043",1.01111195121591
"602","2335AMKM",4974,"TUT-00206","Tutuila",613,2335,"nSPC",2010,"SAMOA","American Samoa","TUT_NW","2010","ForereefDeep","TUT_NW","07/03/2010","Forereef","Deep","Deep",-14.27647,-170.73969,25,33.75,0,0,27.5,35,3.75,NA,0,3,NA,NA,NA,4,2,"A","MKM",5.02575671,5.825648484,54.64012387,19.2468233,0,84.73835236,"Samoa Islands","P",2.819979878,"1845952105",5.02575671009598
"603","2335APMA",4971,"TUT-00206","Tutuila",611,2335,"nSPC",2010,"SAMOA","American Samoa","TUT_NW","2010","ForereefDeep","TUT_NW","07/03/2010","Forereef","Deep","Deep",-14.27647,-170.73969,25,33.75,0,0,27.5,35,3.75,NA,0,3,NA,NA,NA,4,2,"A","PMA",1.481404767,8.45579026,22.47195924,2.654559044,0,35.06371331,"Samoa Islands","P",2.819979878,"1845952111",1.48140476703629
"604","2335BEMD",4973,"TUT-00206","Tutuila",610,2335,"nSPC",2010,"SAMOA","American Samoa","TUT_NW","2010","ForereefDeep","TUT_NW","07/03/2010","Forereef","Deep","Deep",-14.27647,-170.73969,25,33.75,0,0,27.5,35,3.75,NA,0,3,NA,NA,NA,4,2,"B","EMD",26.13098083,24.03188846,31.11199511,12.03735533,0,93.31221973,"Samoa Islands","P",2.819979878,"1845952103",26.1309808329153
"605","2335BKSM",4972,"TUT-00206","Tutuila",612,2335,"nSPC",2010,"SAMOA","American Samoa","TUT_NW","2010","ForereefDeep","TUT_NW","07/03/2010","Forereef","Deep","Deep",-14.27647,-170.73969,25,33.75,0,0,27.5,35,3.75,NA,0,3,NA,NA,NA,4,2,"B","KSM",26.82789897,6.810605673,24.41892394,3.220560753,0,61.27798934,"Samoa Islands","P",2.819979878,"1845952107",26.8278989710379
"606","2336AMKM",5377,"TUT-00491","Tutuila",617,2336,"nSPC",2010,"SAMOA","American Samoa","TUT_NE","2010","ForereefDeep","TUT_NE","07/03/2010","Forereef","Deep","Deep",-14.24515,-170.67088,21,9.25,0,15,0,8.25,67.5,NA,0,1.5,NA,NA,NA,4,2,"A","MKM",0.262265616,0.816791409,3.165360015,4.973753187,0,9.218170228,"Samoa Islands","P",7.24637246,"1845952104",0.262265616260547
"607","2336APMA",5380,"TUT-00491","Tutuila",615,2336,"nSPC",2010,"SAMOA","American Samoa","TUT_NE","2010","ForereefDeep","TUT_NE","07/03/2010","Forereef","Deep","Deep",-14.24515,-170.67088,21,9.25,0,15,0,8.25,67.5,NA,0,1.5,NA,NA,NA,4,2,"A","PMA",2.399471531,0.203363118,4.43313705,4.65113562,0,11.68710732,"Samoa Islands","P",7.24637246,"1845952110",2.39947153069629
"608","2336BEMD",5378,"TUT-00491","Tutuila",616,2336,"nSPC",2010,"SAMOA","American Samoa","TUT_NE","2010","ForereefDeep","TUT_NE","07/03/2010","Forereef","Deep","Deep",-14.24515,-170.67088,21,9.25,0,15,0,8.25,67.5,NA,0,1.5,NA,NA,NA,4,2,"B","EMD",0.246750563,0.133961049,0.157441837,5.699901486,0,6.238054934,"Samoa Islands","P",7.24637246,"1845952102",1.88186471907533
"609","2336BKSM",5379,"TUT-00491","Tutuila",614,2336,"nSPC",2010,"SAMOA","American Samoa","TUT_NE","2010","ForereefDeep","TUT_NE","07/03/2010","Forereef","Deep","Deep",-14.24515,-170.67088,21,9.25,0,15,0,8.25,67.5,NA,0,1.5,NA,NA,NA,4,2,"B","KSM",1.88031733,0.224799992,7.456678075,9.313392296,0,18.87518769,"Samoa Islands","P",7.24637246,"1845952106",1.88031733024368
"610","2337AKCL",5000,"TUT-00219","Tutuila",618,2337,"nSPC",2010,"SAMOA","American Samoa","TUT_NE","2010","ForereefMid","TUT_NE","07/03/2010","Forereef","Mid","Mid",-14.23619,-170.66936,15,38.75,0,0,38.75,15,7.5,NA,0,2,NA,NA,NA,4,2,"A","KCL",2.609924009,7.827926513,49.90235108,6.647036789,0,66.98723839,"Samoa Islands","P",7.948211559,"1845952100",2.60992400855705
"611","2337AMF",5001,"TUT-00219","Tutuila",621,2337,"nSPC",2010,"SAMOA","American Samoa","TUT_NE","2010","ForereefMid","TUT_NE","07/03/2010","Forereef","Mid","Mid",-14.23619,-170.66936,15,38.75,0,0,38.75,15,7.5,NA,0,2,NA,NA,NA,4,2,"A","MF",4.438980278,10.3114012,18.41746403,4.42278995,0,37.59063546,"Samoa Islands","P",7.948211559,"1845952108",4.43898027795445
"612","2337BKCL",5002,"TUT-00219","Tutuila",619,2337,"nSPC",2010,"SAMOA","American Samoa","TUT_NE","2010","ForereefMid","TUT_NE","07/03/2010","Forereef","Mid","Mid",-14.23619,-170.66936,15,38.75,0,0,38.75,15,7.5,NA,0,2,NA,NA,NA,4,2,"B","KCL",1.232278194,6.855033861,57.72523168,6.671239566,0,72.4837833,"Samoa Islands","P",7.948211559,"1845952101",1.23227819364791
"613","2337BMF",5003,"TUT-00219","Tutuila",620,2337,"nSPC",2010,"SAMOA","American Samoa","TUT_NE","2010","ForereefMid","TUT_NE","07/03/2010","Forereef","Mid","Mid",-14.23619,-170.66936,15,38.75,0,0,38.75,15,7.5,NA,0,2,NA,NA,NA,4,2,"B","MF",7.289481305,6.728580586,31.43646624,3.187805419,0,48.64233355,"Samoa Islands","P",7.948211559,"1845952109",7.28948130467621
"614","2340AEMD",5314,"TUT-00370","Tutuila",625,2340,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefMid","TUT_SE","09/03/2010","Forereef","Mid","Mid",-14.30094,-170.68098,15.5,28.75,1.25,12.5,17.5,30,10,NA,0,4.75,NA,NA,NA,4,2,"A","EMD",4.776621971,0.816662994,5.119276445,2.558213144,0,13.27077455,"Samoa Islands","P",8.613082419,"1845952113",6.60326935091623
"615","2340APMA",5315,"TUT-00370","Tutuila",624,2340,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefMid","TUT_SE","09/03/2010","Forereef","Mid","Mid",-14.30094,-170.68098,15.5,28.75,1.25,12.5,17.5,30,10,NA,0,4.75,NA,NA,NA,4,2,"A","PMA",3.608053991,1.885916834,34.75324566,3.13288439,0,43.38010088,"Samoa Islands","P",8.613082419,"1845952122",3.60805399073314
"616","2340BKSM",5316,"TUT-00370","Tutuila",622,2340,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefMid","TUT_SE","09/03/2010","Forereef","Mid","Mid",-14.30094,-170.68098,15.5,28.75,1.25,12.5,17.5,30,10,NA,0,4.75,NA,NA,NA,4,2,"B","KSM",1.723144372,0.284301756,8.110022861,6.63930725,0,16.75677624,"Samoa Islands","P",8.613082419,"1845952123",1.72314437244055
"617","2340BMKM",5317,"TUT-00370","Tutuila",623,2340,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefMid","TUT_SE","09/03/2010","Forereef","Mid","Mid",-14.30094,-170.68098,15.5,28.75,1.25,12.5,17.5,30,10,NA,0,4.75,NA,NA,NA,4,2,"B","MKM",0,1.010676858,35.91926803,10.81632247,0,47.74626736,"Samoa Islands","P",8.613082419,"1845952112",0
"618","2341AEMD",5139,"TUT-00293","Tutuila",628,2341,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefMid","TUT_SE","09/03/2010","Forereef","Mid","Mid",-14.32171,-170.66896,13,8.75,0.75,2.25,33.75,51.25,3.25,NA,0,1.25,NA,NA,NA,4,2,"A","EMD",0.399184689,1.15758375,11.9396634,2.652617564,0,16.1490494,"Samoa Islands","P",5.552556909,"1845952115",0.399184689192754
"619","2341APMA",5138,"TUT-00293","Tutuila",627,2341,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefMid","TUT_SE","09/03/2010","Forereef","Mid","Mid",-14.32171,-170.66896,13,8.75,0.75,2.25,33.75,51.25,3.25,NA,0,1.25,NA,NA,NA,4,2,"A","PMA",0.673758514,2.300005392,12.48642092,2.421168582,0,17.88135341,"Samoa Islands","P",5.552556909,"1845952124",0.673758514072771
"620","2341BKSM",5136,"TUT-00293","Tutuila",626,2341,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefMid","TUT_SE","09/03/2010","Forereef","Mid","Mid",-14.32171,-170.66896,13,8.75,0.75,2.25,33.75,51.25,3.25,NA,0,1.25,NA,NA,NA,4,2,"B","KSM",0.271025503,0.732003757,23.4216371,0.9456127,0,25.37027906,"Samoa Islands","P",5.552556909,"1845952125",0.271025502723379
"621","2341BMKM",5137,"TUT-00293","Tutuila",629,2341,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefMid","TUT_SE","09/03/2010","Forereef","Mid","Mid",-14.32171,-170.66896,13,8.75,0.75,2.25,33.75,51.25,3.25,NA,0,1.25,NA,NA,NA,4,2,"B","MKM",0.025244551,3.3024018,4.265140025,2.491245327,0,10.0840317,"Samoa Islands","P",5.552556909,"1845952114",0.0252445508156762
"622","2342AEMD",5191,"TUT-00312","Tutuila",630,2342,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefShallow","TUT_SE","09/03/2010","Forereef","Shallow","Shallow",-14.30883,-170.69318,7,13.75,13.75,7.5,40,20,5,NA,0,3.25,NA,NA,NA,4,2,"A","EMD",0.536744698,0.832828313,25.98473081,1.661678699,0,29.01598252,"Samoa Islands","P",6.6522714,"1845952121",0.536744697887701
"623","2342APMA",5194,"TUT-00312","Tutuila",631,2342,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefShallow","TUT_SE","09/03/2010","Forereef","Shallow","Shallow",-14.30883,-170.69318,7,13.75,13.75,7.5,40,20,5,NA,0,3.25,NA,NA,NA,4,2,"A","PMA",0,1.235017307,31.31241118,4.871104362,0,37.41853285,"Samoa Islands","P",6.6522714,"1845952126",0
"624","2342BKSM",5192,"TUT-00312","Tutuila",632,2342,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefShallow","TUT_SE","09/03/2010","Forereef","Shallow","Shallow",-14.30883,-170.69318,7,13.75,13.75,7.5,40,20,5,NA,0,3.25,NA,NA,NA,4,2,"B","KSM",0.510286307,0.166844325,15.26760967,3.351071561,0,19.29581186,"Samoa Islands","P",6.6522714,"1845952128",0.510286307152785
"625","2342BMKM",5193,"TUT-00312","Tutuila",633,2342,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefShallow","TUT_SE","09/03/2010","Forereef","Shallow","Shallow",-14.30883,-170.69318,7,13.75,13.75,7.5,40,20,5,NA,0,3.25,NA,NA,NA,4,2,"B","MKM",0.541312089,0.021076751,26.67793889,3.472806391,0,30.71313412,"Samoa Islands","P",6.6522714,"1845952118",0.54131208941318
"626","2343AEMD",5158,"TUT-00302","Tutuila",636,2343,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefShallow","TUT_SE","09/03/2010","Forereef","Shallow","Shallow",-14.33183,-170.69904,5,15,4.5,1,24.75,52.5,2.25,NA,0,2.25,NA,NA,NA,4,2,"A","EMD",1.107954549,0.036792691,10.19542322,4.267116196,0,15.60728666,"Samoa Islands","P",6.588324259,"1845952120",1.10795454884864
"627","2343APMA",5159,"TUT-00302","Tutuila",637,2343,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefShallow","TUT_SE","09/03/2010","Forereef","Shallow","Shallow",-14.33183,-170.69904,5,15,4.5,1,24.75,52.5,2.25,NA,0,2.25,NA,NA,NA,4,2,"A","PMA",0,0.565120944,12.49130844,4.329942907,0,17.3863723,"Samoa Islands","P",6.588324259,"1845952127",0
"628","2343BKSM",5160,"TUT-00302","Tutuila",634,2343,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefShallow","TUT_SE","09/03/2010","Forereef","Shallow","Shallow",-14.33183,-170.69904,5,15,4.5,1,24.75,52.5,2.25,NA,0,2.25,NA,NA,NA,4,2,"B","KSM",0.553264703,0.102502002,4.272077444,1.490842473,0,6.418686622,"Samoa Islands","P",6.588324259,"1845952130",0.553264702777101
"629","2343BMKM",5157,"TUT-00302","Tutuila",635,2343,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefShallow","TUT_SE","09/03/2010","Forereef","Shallow","Shallow",-14.33183,-170.69904,5,15,4.5,1,24.75,52.5,2.25,NA,0,2.25,NA,NA,NA,4,2,"B","MKM",0,1.068560601,6.175487562,4.98777231,0,12.23182047,"Samoa Islands","P",6.588324259,"1845952119",0
"630","2344AEMD",5340,"TUT-00412","Tutuila",641,2344,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefShallow","TUT_SE","09/03/2010","Forereef","Shallow","Shallow",-14.3427,-170.72064,5.5,7,2.5,0,28.75,55,6.75,NA,0,3.25,NA,NA,NA,4,2,"A","EMD",0.503199484,0.457141844,23.65406413,4.237278344,0,28.8516838,"Samoa Islands","P",6.22214934,"1845952117",0.503199483595373
"631","2344APMA",5341,"TUT-00412","Tutuila",640,2344,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefShallow","TUT_SE","09/03/2010","Forereef","Shallow","Shallow",-14.3427,-170.72064,5.5,7,2.5,0,28.75,55,6.75,NA,0,3.25,NA,NA,NA,4,2,"A","PMA",0,0.323036095,42.26923888,3.740923044,0,46.33319802,"Samoa Islands","P",6.22214934,"1845952129",0
"632","2344BKSM",5343,"TUT-00412","Tutuila",638,2344,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefShallow","TUT_SE","09/03/2010","Forereef","Shallow","Shallow",-14.3427,-170.72064,5.5,7,2.5,0,28.75,55,6.75,NA,0,3.25,NA,NA,NA,4,2,"B","KSM",0.093395799,0.118370811,15.24237902,1.357749251,0,16.81189488,"Samoa Islands","P",6.22214934,"1845952131",0.0933957988538979
"633","2344BMKM",5342,"TUT-00412","Tutuila",639,2344,"nSPC",2010,"SAMOA","American Samoa","TUT_SE","2010","ForereefShallow","TUT_SE","09/03/2010","Forereef","Shallow","Shallow",-14.3427,-170.72064,5.5,7,2.5,0,28.75,55,6.75,NA,0,3.25,NA,NA,NA,4,2,"B","MKM",0.220280824,0.066902445,22.5078426,3.530623596,0,26.32564946,"Samoa Islands","P",6.22214934,"1845952116",0.220280824324715
"634","2346AMKM",3437,"OFU-00201","Ofu & Olosega",643,2346,"nSPC",2010,"SAMOA","American Samoa","Ofu & Olosega","2010","ForereefDeep","Ofu & Olosega","10/03/2010","Forereef","Deep","Deep",-14.17359,-169.63547,25,25,0,20,35,12.5,7.5,NA,0,2.5,NA,NA,NA,2,1,"A","MKM",5.372822811,0.663102352,9.614971343,18.41291903,0,34.06381553,"Samoa Islands","P",6.475051796,"1845952132",5.37282281145266
"635","2346APMA",3438,"OFU-00201","Ofu & Olosega",642,2346,"nSPC",2010,"SAMOA","American Samoa","Ofu & Olosega","2010","ForereefDeep","Ofu & Olosega","10/03/2010","Forereef","Deep","Deep",-14.17359,-169.63547,25,25,0,20,35,12.5,7.5,NA,0,2.5,NA,NA,NA,2,1,"A","PMA",1.877324266,0.469839361,13.55561433,16.03154678,0,31.93432474,"Samoa Islands","P",6.475051796,"1845952134",1.87732426564123
"636","2347AEMD",3540,"OLO-00203","Ofu & Olosega",644,2347,"nSPC",2010,"SAMOA","American Samoa","Ofu & Olosega","2010","ForereefMid","Ofu & Olosega","10/03/2010","Forereef","Mid","Mid",-14.19178,-169.61617,11.5,33.75,0,4.25,41.25,18.25,2.5,NA,0,2,NA,NA,NA,4,2,"A","EMD",15.49990653,3.883834568,20.42760927,11.31590285,0,51.12725321,"Samoa Islands","P",11.53095274,"1845952138",15.499906525116
